,SubjectName,SubjectID,SectionName,CourseCode,YearName
147,Lab immersion B out of EPFL,1864673356,Bioingénierie,BIO-505,2015-2016
148,Lab immersion B out of EPFL,1864673356,Sciences et technologies du vivant - master,BIO-505,2015-2016
149,Projet de master en sciences et technologies du vivant,132448364,Sciences et technologies du vivant - master,BIO-598(a),2015-2016
150,Projet de master en bioingénierie et biotechnologie,134558590,Bioingénierie,BIO-599,2015-2016
151,Fluid mechanics for SV,132121224,Sciences et technologies du vivant,BIOENG-312,2015-2016
152,Project in bioengineering and biosciences,352072600,Hors plans,BIOENG-390,2015-2016
153,Introduction to cellular and molecular biotechnology,4145120,Génie chimique et biotechnologie,BIOENG-430,2015-2016
154,Introduction to cellular and molecular biotechnology,4145120,Mineur en Biotechnologie,BIOENG-430,2015-2016
155,Pharmaceutical biotechnology,350847112,Génie chimique et biotechnologie,BIOENG-437,2015-2016
156,Pharmaceutical biotechnology,350847112,Mineur en Biotechnologie,BIOENG-437,2015-2016
157,Biomedical optics,839100255,Bioingénierie,BIOENG-445,2015-2016
158,Scientific literature analysis in Neuroscience,1771072592,Sciences et technologies du vivant - master,BIOENG-451,2015-2016
159,Sensorimotor neuroprosthetics,1680039586,Bioingénierie,BIOENG-486,2015-2016
160,Sensorimotor neuroprosthetics,1680039586,Mineur en Neuroprosthétiques,BIOENG-486,2015-2016
161,Sensorimotor neuroprosthetics,1680039586,Mineur en Neurosciences computationnelles,BIOENG-486,2015-2016
162,Sensorimotor neuroprosthetics,1680039586,Sciences et technologies du vivant - master,BIOENG-486,2015-2016
163,Semester project in Bioengineering,1770857585,Hors plans,BIOENG-489,2015-2016
164,Project in computational neurosciences,1582863195,Mineur en Neurosciences computationnelles,BIOENG-490,2015-2016
165,Lab methods : animal experimentation,1680530302,Bioingénierie,BIOENG-511,2015-2016
166,Lab methods : animal experimentation,1680530302,Sciences et technologies du vivant - master,BIOENG-511,2015-2016
167,Lab methods : bioactive compounds screening,1680530324,Bioingénierie,BIOENG-512,2015-2016
168,Lab methods : bioactive compounds screening,1680530324,Sciences et technologies du vivant - master,BIOENG-512,2015-2016
169,Lab methods : biosafety,1680530693,Bioingénierie,BIOENG-513,2015-2016
170,Lab methods : biosafety,1680530693,Sciences et technologies du vivant - master,BIOENG-513,2015-2016
171,Lab methods : flow cytometry,1680530700,Bioingénierie,BIOENG-514,2015-2016
172,Lab methods : flow cytometry,1680530700,Sciences et technologies du vivant - master,BIOENG-514,2015-2016
173,Lab methods : histology,1680535667,Bioingénierie,BIOENG-516,2015-2016
174,Lab methods : histology,1680535667,Sciences et technologies du vivant - master,BIOENG-516,2015-2016
175,Lab methods : proteomics,1680530742,Bioingénierie,BIOENG-517,2015-2016
176,Lab methods : proteomics,1680530742,Sciences et technologies du vivant - master,BIOENG-517,2015-2016
177,Stage d'ingénieur (master en Bioingénierie),467191817,Bioingénierie,BIOENG-596,2015-2016
178,Stage d'ingénieur (master en Sciences et technologie du vivant),4651611,Sciences et technologies du vivant - master,BIOENG-596,2015-2016
179,Equilibres et réactivité chimiques,71855072,Chimie et génie chimique,CH-101,2015-2016
180,"Atomes, ions, molécules et fonctions",1661374484,Chimie et génie chimique,CH-102,2015-2016
181,Chimie TP I ,260079039,Chimie et génie chimique,CH-108(a),2015-2016
182,Chimie générale avancée,1676846587,Génie civil,CH-160(a),2015-2016
183,Chimie générale avancée,1676846587,Science et génie des matériaux,CH-160(b),2015-2016
184,Chimie générale avancée,1676846587,Sciences et ingénierie de l'environnement,CH-160(b),2015-2016
185,Chimie générale avancée,1676846587,Sciences et technologies du vivant,CH-160(c),2015-2016
186,Chimie générale avancée,1676846587,Sciences et technologies du vivant,CH-160(d),2015-2016
187,Chimie générale avancée,1676846587,UNIL - Sciences forensiques,CH-160(d),2015-2016
188,Introduction à la chimie organique I,1678982942,Sciences et technologies du vivant,CH-162,2015-2016
189,Introduction à la chimie organique II,1678983025,Sciences et technologies du vivant,CH-163,2015-2016
190,Analyse structurale,1772250,Chimie et génie chimique,CH-201,2015-2016
191,Analyse structurale,1772250,UNIL - Sciences forensiques,CH-201,2015-2016
192,Biochimie I,4144900,Chimie et génie chimique,CH-210,2015-2016
193,Biochimie I,4144900,Mathématiques,CH-210,2015-2016
194,Biochimie I,4144900,UNIL - Sciences forensiques,CH-210,2015-2016
195,Biochimie I,4144900,Passerelle HES - CGC,CH-210,2015-2016
196,Chemistry of elements s and p,1772497,Chimie et génie chimique,CH-221,2015-2016
197,"Chimie organique, TP",1513577805,Chimie et génie chimique,CH-230,2015-2016
198,Fonctions et réactions organiques II,1773682,Chimie et génie chimique,CH-233,2015-2016
199,Fonctions et réactions organiques II,1773682,Passerelle HES - CGC,CH-233,2015-2016
200,Statistical thermodynamics,1769332709,Passerelle HES - CGC,CH-242,2015-2016
201,Electrochimie des solutions,1773437,Chimie et génie chimique,CH-243,2015-2016
202,Numerical methods in chemistry,1769329067,Chimie et génie chimique,CH-250,2015-2016
203,Numerical methods in chemistry,1769329067,Passerelle HES - CGC,CH-250,2015-2016
204,Chimie inorganique,1807738465,Science et génie des matériaux,CH-263,2015-2016
205,Méthodes de séparation analytiques,1774837,Chimie et génie chimique,CH-301,2015-2016
206,Méthodes de séparation analytiques,1774837,UNIL - Sciences forensiques,CH-301,2015-2016
207,Chimie analytique expérimentale,230665709,Chimie et génie chimique,CH-309(a),2015-2016
208,Molecular and cellular biophysic I,1772275,Passerelle HES - CGC,CH-311,2015-2016
209,Biochemistry II,350462476,Passerelle HES - CGC,CH-313,2015-2016
210,Bioinorganic chemistry,1772432,Passerelle HES - CGC,CH-321,2015-2016
211,Chimie physique des interfaces,1772587,Chimie et génie chimique,CH-341,2015-2016
212,Spectroscopy,47987731,Chimie et génie chimique,CH-343,2015-2016
213,Introduction to electronic structure methods,230666083,Mineur en Biocomputing,CH-353,2015-2016
214,Introduction to electronic structure methods,230666083,Science et ingénierie computationnelles,CH-353,2015-2016
215,Introduction to electronic structure methods,230666083,Passerelle HES - CGC,CH-353,2015-2016
216,Methodology in instrumental chromatography,1669225782,Chimie moléculaire et biologique,CH-405,2015-2016
217,Methodology in instrumental chromatography,1669225782,UNIL - Sciences forensiques,CH-405,2015-2016
218,Analysis of ancient materials and their degradation,1898535955,Chimie moléculaire et biologique,CH-406,2015-2016
219,Nuclear magnetic resonance,1669227005,Passerelle HES - CGC,CH-409,2015-2016
220,Chemistry of small biological molecules,1533900991,Chimie moléculaire et biologique,CH-415,2015-2016
221,Catalysis for energy storage,1769332958,Chimie moléculaire et biologique,CH-421,2015-2016
222,Catalysis for energy storage,1769332958,Gestion de l'énergie et construction durable,CH-421,2015-2016
223,Catalysis for energy storage,1769332958,Génie chimique et biotechnologie,CH-421,2015-2016
224,Catalyst design for synthesis,129833984,Chimie moléculaire et biologique,CH-422,2015-2016
225,Inorganic reactivity,129776728,Chimie moléculaire et biologique,CH-423,2015-2016
226,Structure and reactivity,1771718,Chimie moléculaire et biologique,CH-432,2015-2016
227,Total synthesis of natural products,468310629,Chimie moléculaire et biologique,CH-438,2015-2016
228,Photochemistry II,1771488,Chimie moléculaire et biologique,CH-443,2015-2016
229,Electronic spectroscopy,71877719,Chimie moléculaire et biologique,CH-444,2015-2016
230,Applied molecular quantum chemistry,1770678,Chimie moléculaire et biologique,CH-451,2015-2016
231,Applied molecular quantum chemistry,1770678,Science et ingénierie computationnelles,CH-451,2015-2016
232,Computational methods in molecular quantum mechanics,250991626,Chimie moléculaire et biologique,CH-452,2015-2016
233,Computational methods in molecular quantum mechanics,250991626,Science et ingénierie computationnelles,CH-452,2015-2016
234,Physique moléculaire,44378947,Physique - master,CH-462,2015-2016
235,Physique moléculaire,44378947,Ingénierie physique,CH-462,2015-2016
236,Project in molecular sciences,71883318,Hors plans,CH-491,2015-2016
237,Interdisciplinary project,1769339854,Chimie moléculaire et biologique,CH-492,2015-2016
238,Projet de master en chimie moléculaire et biologique,132425754,Chimie moléculaire et biologique,CH-599,2015-2016
239,Introduction to chemical engineering I,250986010,Chimie et génie chimique,ChE-201,2015-2016
240,Introduction to chemical engineering I,250986010,Mineur en Biotechnologie,ChE-201,2015-2016
241,Transport phenomena I,1898529993,Passerelle HES - CGC,ChE-301,2015-2016
242,Equilibrium-stage separation processes,130130740,Génie chimique et biotechnologie,ChE-401,2015-2016
243,Equilibrium-stage separation processes,130130740,Mineur en Énergie,ChE-401,2015-2016
244,Equilibrium-stage separation processes,130130740,Passerelle HES - CGC,ChE-401,2015-2016
245,Chemical engineering of heterogenous reactions,48099118,Génie chimique et biotechnologie,ChE-403,2015-2016
246,Chemical engineering of heterogenous reactions,48099118,Mineur en Énergie,ChE-403,2015-2016
247,Chemical engineering lab & project,4145236,Génie chimique et biotechnologie,ChE-409,2015-2016
248,Principles and applications of systems biology,71898059,Bioingénierie,ChE-411,2015-2016
249,Principles and applications of systems biology,71898059,Génie chimique et biotechnologie,ChE-411,2015-2016
250,Principles and applications of systems biology,71898059,Mineur en Biotechnologie,ChE-411,2015-2016
251,Principles and applications of systems biology,71898059,Sciences et technologies du vivant - master,ChE-411,2015-2016
252,Principles and applications of systems biology,71898059,Science et ingénierie computationnelles,ChE-411,2015-2016
253,Principles and applications of systems biology,71898059,Mineur en Systems Engineering,ChE-411,2015-2016
254,Process development I,1771573,Gestion de l'énergie et construction durable,ChE-451,2015-2016
255,Process development I,1771573,Génie chimique et biotechnologie,ChE-451,2015-2016
256,Process development I,1771573,Mineur en Biotechnologie,ChE-451,2015-2016
257,Process development I,1771573,Mineur en Énergie,ChE-451,2015-2016
258,Project in Biotechnology,1715599381,Mineur en Biotechnologie,ChE-460,2015-2016
259,Stage d'ingénieur (master en Génie chimique et Biotechnologie),234597759,Génie chimique et biotechnologie,ChE-596,2015-2016
260,Projet de master en génie chimique et biotechnologie,1593341315,Génie chimique et biotechnologie,ChE-599,2015-2016
261,Mécanique des structures (pour GC),938058920,Génie civil,CIVIL-223,2015-2016
262,Mécanique des structures (pour GC),938058920,Passerelle HES - GC,CIVIL-223,2015-2016
263,Mécanique des milieux continus (pour GC),231606915,Génie civil,CIVIL-225,2015-2016
264,Mécanique des milieux continus (pour GC),231606915,Passerelle HES - GC,CIVIL-225,2015-2016
265,Structures en béton,227318424,Génie civil,CIVIL-234,2015-2016
266,Sécurité et fiabilité,229971214,Génie civil,CIVIL-237,2015-2016
267,Sécurité et fiabilité,229971214,Passerelle HES - GC,CIVIL-237,2015-2016
268,Mécanique des roches et ouvrages souterrains,1932632950,Génie civil,CIVIL-308,2015-2016
269,Conception et dimensionnement des structures en bois,414819112,Génie civil,CIVIL-331,2015-2016
270,Etude et analyse des systèmes énergétiques,22827171,Génie civil,CIVIL-340,2015-2016
271,Transportation systems engineering,348607885,Génie civil,CIVIL-351,2015-2016
272,Transportation systems engineering,348607885,Mineur en Développement territorial et urbanisme,CIVIL-351,2015-2016
273,Transportation systems engineering,348607885,Passerelle HES - GC,CIVIL-351,2015-2016
274,Projet GC,23610182,Hors plans,CIVIL-390,2015-2016
275,Geomechanics,1932794331,Génie civil,CIVIL-402,2015-2016
276,Géologie de la construction et de l'environnement,1680050992,Génie civil,CIVIL-403,2015-2016
277,Voies de circulation,830901136,Génie civil,CIVIL-406,2015-2016
278,Hydraulique fluviale et aménagement des cours d'eau,1774027,Génie civil,CIVIL-410,2015-2016
279,Hydraulique fluviale et aménagement des cours d'eau,1774027,Sciences et ingénierie de l'environnement,CIVIL-410,2015-2016
280,Barrages et ouvrages hydrauliques annexes,1770632,Génie civil,CIVIL-411,2015-2016
281,Barrages et ouvrages hydrauliques annexes,1770632,Mineur en Énergie,CIVIL-411,2015-2016
282,Ouvrages hydrauliques et aménagements hydroélectriques,1941543671,Génie civil,CIVIL-412,2015-2016
283,Ouvrages hydrauliques et aménagements hydroélectriques,1941543671,Mineur en Énergie,CIVIL-412,2015-2016
284,Dynamique des structures,1773337,Génie civil,CIVIL-420,2015-2016
285,Reservoir mechanics for geo-energy and the environment,1932791826,Génie civil,CIVIL-429,2015-2016
286,Ponts en béton,1775602,Génie civil,CIVIL-430,2015-2016
287,"Structures existantes, bases",1889181461,Génie civil,CIVIL-436,2015-2016
288,Analyse et gestion de risques,1932629392,Génie civil,CIVIL-438,2015-2016
289,Advanced composites in engineering structures,47390229,Génie civil,CIVIL-443,2015-2016
290,Modélisation des systèmes énergétiques,1770786181,Gestion de l'énergie et construction durable,CIVIL-447,2015-2016
291,Modélisation des systèmes énergétiques,1770786181,Génie civil,CIVIL-447,2015-2016
292,Villes et transports,4151954,Génie civil,CIVIL-451,2015-2016
293,Exploitation ferroviaire,830900311,Génie civil,CIVIL-452,2015-2016
294,Gestion de la maintenance des infrastructures,1773822,Génie civil,CIVIL-455,2015-2016
295,Fundamentals of Traffic Operations and Control,338340784,Gestion de l'énergie et construction durable,CIVIL-457,2015-2016
296,Fundamentals of Traffic Operations and Control,338340784,Génie civil,CIVIL-457,2015-2016
297,Economie des réseaux d'infrastructures,1770793617,Génie civil,CIVIL-458,2015-2016
298,UE génie civil: Construction durable,1770649464,Génie civil,CIVIL-474,2015-2016
299,Projet de construction,136704168,Génie civil,CIVIL-490,2015-2016
300,Projet de systèmes civils,136704309,Génie civil,CIVIL-491,2015-2016
301,Laboratoire GC,136703631,Génie civil,CIVIL-492,2015-2016
302,Projet interdisciplinaire à option,72259676,Génie civil,CIVIL-493,2015-2016
303,Projet ENAC pour mineur IDEAS,1994879246,"Mineur en Design intégré, architecture et durabilité",CIVIL-496,2015-2016
304,Advanced methods in computational solid mechanics,455262375,Génie civil,CIVIL-523,2015-2016
