SubjectID	sections
837364272	Mathématiques - master
1657735730	Génie mécanique
23812659	Architecture|Mineur en Développement territorial et urbanisme
1772085	Information security minor|Systèmes de communication|Informatique
71883318	Hors plans
82805306	Systèmes de communication - master
1772095	Génie civil|Sciences et ingénierie de l'environnement|Chimie et génie chimique|Science et génie des matériaux|Génie mécanique|Microtechnique|Systèmes de communication|Informatique|Sciences et technologies du vivant|Génie électrique et électronique
47233600	Microtechnique|Génie électrique et électronique|Mineur en Systems Engineering
1680257605	Architecture
405250632	Programme Sciences humaines et sociales
24005195	Sciences et ingénierie de l'environnement
23813560	Architecture|Gestion de l'énergie et construction durable|Mineur en Design intégré, architecture et durabilité
1670042196	Génie électrique et électronique
1576313429	Sciences et ingénierie de l'environnement
1919570518	Programme Sciences humaines et sociales
71645784	Systèmes de communication
4651611	Sciences et technologies du vivant - master
1898551900	Mathématiques
1670042209	Génie électrique et électronique
24175202	Architecture
353946213	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1704192615	Systèmes de communication
1680360041	Programme Sciences humaines et sociales
1803668078	Génie nucléaire
1771712588	Science et génie des matériaux
838978162	Science et génie des matériaux
1911192181	Programme Sciences humaines et sociales
1954058871	Programme Sciences humaines et sociales
652077693	Génie mécanique
1889181461	Génie civil
24164994	Génie électrique et électronique|Systèmes de communication - master|Informatique
231606915	Génie civil|Passerelle HES - GC
1775382	Physique - master|Ingénierie physique
132121224	Sciences et technologies du vivant
426521225	Ingénierie mathématique
71840397	Informatique
1581734542	Programme Sciences humaines et sociales
1770793617	Génie civil
4151954	Génie civil
1818673603	Programme Sciences humaines et sociales
129686166	Mathématiques - master|Ingénierie mathématique
837368471	Mathématiques - master|Ingénierie mathématique
227318424	Génie civil
1695517338	Programme Sciences humaines et sociales
444523163	Sciences et ingénierie de l'environnement
1802440133	Mathématiques
47241891	Micro and Nanotechnologies for Integrated Systems|Génie électrique et électronique
1772657	Microtechnique|Génie électrique et électronique|Passerelle HES - EL
1771538	Chimie moléculaire et biologique|Génie chimique et biotechnologie|Science et génie des matériaux
1702466222	Systèmes de communication|Informatique
1680358063	Programme Sciences humaines et sociales
1590321840	Mineur en Développement territorial et urbanisme|Sciences et ingénierie de l'environnement
1921237690	Systèmes de communication|Informatique
1680358076	Programme Sciences humaines et sociales
1773002	Programme Sciences humaines et sociales
1543013152	Bioingénierie|Sciences et technologies du vivant - master
1789653698	Systèmes de communication
1772230	Mathématiques|Génie électrique et électronique|Génie mécanique|Science et génie des matériaux|Passerelle HES - GM|Passerelle HES - EL|Microtechnique|Sciences et technologies du vivant|Passerelle HES - MT|Génie civil|Sciences et ingénierie de l'environnement|Passerelle HES - GC|Systèmes de communication|Informatique|Passerelle HES - IN
1898238663	Ingénierie financière
1772235	Systèmes de communication
1580217043	Programme Sciences humaines et sociales
1776342	Architecture
352625368	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1772250	Chimie et génie chimique|UNIL - Sciences forensiques
1776347	Systèmes de communication - master|Informatique
1580217054	Programme Sciences humaines et sociales
3855141	Physique
1803746018	Mathématiques pour l'enseignement
47997051	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1543121640	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat|Mineur en Systems Engineering
1580215017	Programme Sciences humaines et sociales
1769423594	Architecture|Echange AR
