Source,Target,type
1898576185,1578290162,indicative
1578290162,1898576185,indicative
355561756,967657884,indicative
838978869,838976529,indicative
652059419,354383690,indicative
1887888591,24092923,indicative
243429820,129285391,indicative
231617900,4649823,indicative
1499251995,1776687,indicative
243429820,24375105,indicative
840844976,1899816746,indicative
1771015531,1771067819,indicative
824161299,132147064,indicative
1774762,1499247990,indicative
652078287,652076110,indicative
1888788429,1775517,indicative
1659048310,1775497,indicative
132426961,967657884,indicative
47977389,1898557621,indicative
1772235,837368471,indicative
230597543,1775637,indicative
355561756,426521225,indicative
652078044,652076110,indicative
234597759,1593341315,indicative
129285391,1771693280,indicative
1179245,24345947,indicative
1774512,1775642,indicative
129699210,1775642,indicative
243791456,243791097,indicative
4145236,48099118,indicative
839100255,1680039586,indicative
1781858692,1494716829,indicative
840801900,24429568,indicative
1775637,1584194448,indicative
1932791826,1680050992,indicative
1772085,1898557621,indicative
249353044,1680357972,indicative
652058942,652078287,indicative
75309053,1776687,indicative
129285391,128851000,indicative
2222268,75309053,indicative
1775477,1803204353,indicative
837370054,129688728,indicative
1772275,71855072,indicative
1772235,1771017288,indicative
355591210,355590267,indicative
652077693,652058942,indicative
824210739,824206674,indicative
47977389,1898551900,indicative
1774512,1578290162,indicative
1685212246,129699210,indicative
126727237,23815258,indicative
71630664,838976529,indicative
1769332958,129833984,indicative
138587084,1771690442,indicative
1774547,1932629392,indicative
236283202,229988060,indicative
1659017558,1775212,indicative
23813560,126727237,indicative
1771072563,1771071124,indicative
1889181461,1775602,indicative
1776377,1775642,indicative
24334799,1773492,indicative
1776377,1775637,indicative
1774512,1898553613,indicative
1772235,24345947,indicative
47980922,1775642,indicative
128851969,1775517,indicative
1773797,4148121,indicative
3855141,1775637,indicative
129833984,1772497,indicative
1776687,75309053,indicative
138587084,1775517,indicative
1771072563,232289697,indicative
1658221961,1659463240,indicative
352072600,1582863195,indicative
128789807,1771058,indicative
1680357972,249353044,indicative
1497044684,1179245,indicative
839100255,350847112,indicative
1179245,1685197312,indicative
1775642,1578290162,indicative
1898557621,1775637,indicative
1775382,24375105,indicative
71966057,229988298,indicative
231606915,4151954,indicative
47980922,1775647,indicative
1679266975,352254973,indicative
24164994,1771058,indicative
837368471,1775642,indicative
840801900,838978869,indicative
1580214404,1772997,indicative
132448364,134558590,indicative
1927284144,1927284194,indicative
1774642,354984919,indicative
1497047397,1774642,indicative
1659463240,47830388,indicative
1179245,1685197312,indicative
1802440133,1807734531,indicative
1771849,23815258,indicative
1776592,1776592,indicative
837368471,1772235,indicative
1580215162,1680358144,indicative
1932632950,1932794331,indicative
1932794331,231606915,indicative
229988298,71966057,indicative
1774642,1179245,indicative
1802440133,243791456,indicative
1680358076,1580215162,indicative
1773472,1499251995,indicative
1680050992,1932794331,indicative
354383074,1179245,indicative
230003664,71966057,indicative
1775637,1775647,indicative
1898576185,1898563769,indicative
900058271,1680358076,indicative
71826349,348637649,indicative
1773797,1898563805,indicative
1658221961,23996074,indicative
840861451,840861591,indicative
1582851784,1582864637,indicative
129776728,1807738465,indicative
652077020,1807734531,indicative
235424562,1580216068,indicative
132428658,132424935,indicative
230301204,3855141,indicative
840861591,840861451,indicative
47977389,1775637,indicative
129285391,1775382,indicative
1898576185,24345947,indicative
837368471,1578290162,indicative
228383796,1771703752,indicative
1775637,837368471,indicative
938058920,227318424,indicative
24429568,1771538,indicative
