Source,Target
4146552,1771990
1771990,4148741
23939045,1771990
1771990,23939091
1771990,46909636
1772657,1771995
1776002,1771995
1776627,1771995
1771995,23939045
46909636,1771995
1772432,1772000
1772442,1772000
1772587,1772000
1772652,1772000
1772707,1772000
1774837,1772000
1776082,1772000
1772000,2268454
1772000,4145120
4147445,1772000
4149842,1772000
1772000,24381615
24429011,1772000
47830388,1772000
47987731,1772000
1772000,47994028
1772000,48029637
48122881,1772000
130130740,1772000
230665709,1772000
232190078,1772000
350462476,1772000
1772025,1772030
1772025,1772095
1772025,1775427
1772025,1775437
1775697,1772025
1772025,1775702
1772025,257434376
1772025,1657719952
1772025,1676846587
1772025,1678982942
1772025,1678983025
1772030,1772095
1772992,1772030
1775427,1772030
1772030,1775437
1775697,1772030
1775702,1772030
784634759,1772030
1772030,1657415100
1657417551,1772030
1657719952,1772030
1676846587,1772030
1678982942,1772030
1772992,1772035
1772035,1773002
1772035,1775452
1776082,1772035
1772035,2312068
47987731,1772035
1772040,1774442
1774517,1772040
1775912,1772040
47675509,1772040
1773287,1772055
1773292,1772055
128676975,1772055
1773287,1772065
1773292,1772065
1772065,1774097
1772065,2258965
4650155,1772065
1772065,24166696
1772065,82805306
353831841,1772065
1501692114,1772065
1772075,1773402
1775867,1772075
1772075,1777127
1777132,1772075
1772075,127006741
146861779,1772075
228377622,1772075
1772075,228384077
228388554,1772075
228388747,1772075
228388903,1772075
228389155,1772075
228390629,1772075
1772075,231896292
1772075,249321531
1772235,1772085
1773477,1772085
1773777,1772085
1772085,1774242
1775627,1772085
1772085,1775642
1772085,24007074
1772085,71646554
72259583,1772085
1772085,128314283
1772085,128676455
1772085,230265995
1772085,230488596
249359872,1772085
348718726,1772085
838992628,1772085
1772085,1317715448
